,artist,country,title,link,year,period,1_most_frequent_word,1_frequency_of_the_word,1_theme_of_the_word,2_most_frequent_word,2_frequency_of_the_word,2_theme_of_the_word,3_most_frequent_word,3_frequency_of_the_word,3_theme_of_the_word,4_most_frequent_word,4_frequency_of_the_word,4_theme_of_the_word,5_most_frequent_word,5_frequency_of_the_word,5_theme_of_the_word,6_most_frequent_word,6_frequency_of_the_word,6_theme_of_the_word,7_most_frequent_word,7_frequency_of_the_word,7_theme_of_the_word,8_most_frequent_word,8_frequency_of_the_word,8_theme_of_the_word,9_most_frequent_word,9_frequency_of_the_word,9_theme_of_the_word,10_most_frequent_word,10_frequency_of_the_word,10_theme_of_the_word
1,Mariah Carey,The United States of America,All I Want For Christmas Is You,https://www.azlyrics.com/lyrics/mariahcarey/alliwantforchristmasisyou.html,1994,1990's,want,12,miscellaneous,christmas,12,celebratory,just,8,miscellaneous,baby,8,sentimental,won't,7,miscellaneous,make,5,miscellaneous,wish,4,sentimental,oh,4,miscellaneous,need,4,miscellaneous,underneath,3,miscellaneous
2,Brenda Lee,The United States of America,Rockin' Around The Christmas Tree,https://www.azlyrics.com/lyrics/brendalee/rockinaroundthechristmastree.html,1958,1950's,christmas,6,celebratory,tree,4,traditions,rockin,4,miscellaneous,we'll,2,miscellaneous,way,2,miscellaneous,voices,2,miscellaneous,singing,2,miscellaneous,sentimental,2,sentimental,old,2,miscellaneous,new,2,miscellaneous
3,Bobby Helms,The United States of America,"Jingle Bell Rock",https://www.azlyrics.com/lyrics/bobbyhelms/jinglebellrock.html,1957,1950's,jingle,28,celebratory/traditions,bell,20,traditions,time,10,miscellaneous,rock,7,miscellaneous,that's,4,miscellaneous,horse,4,miscellaneous,feet,4,miscellaneous,bells,3,traditions,swell,2,sentimental,square,2,miscellaneous
4,Nat King Cole,The United States of America,The Christmas Song (Merry Christmas To You),https://www.azlyrics.com/lyrics/natkingcole/thechristmassong.html,1945,1940's,ways,2,miscellaneous,times,2,miscellaneous,simple,2,miscellaneous,said,2,miscellaneous,phrase,2,miscellaneous,offering,2,miscellaneous,ninety,2,miscellaneous,merry,2,sentimental/celebratory,know,2,miscellaneous,kids,2,miscellaneous
5,Burl Ives,The United States of America,A Holly Jolly Christmas,https://www.azlyrics.com/lyrics/burlives/ahollyjollychristmas.html,2011,2010's,jolly,8,sentimental,holly,8,sentimental,christmas,8,celebratory,year,4,miscellaneous,oh,4,miscellaneous,know,3,miscellaneous,walk,2,miscellaneous,waits,2,miscellaneous,time,2,miscellaneous,street,2,miscellaneous
6,Jose Feliciano,Puerto Rico (US),Feliz Navidad,https://www.azlyrics.com/lyrics/josefeliciano/feliznavidad.html,1970,1970's,navidad,21,mythical,feliz,21,sentimental,wish,18,miscellaneous,want,18,miscellaneous,merry,18,sentimental,christmas,18,celebratory,prospero,7,sentimental,felicidad,7,sentimental,año,7,miscellaneous,heart,6,sentimental
7,Andy Wiliams,The United States of America,It's The Most Wonderful Time Of The Year,https://www.azlyrics.com/lyrics/andywilliams/itsthemostwonderfultimeoftheyear.html,1963,1960's,wonderful,8,sentimental,time,8,miscellaneous,it's,8,miscellaneous,year,6,miscellaneous,there'll,6,miscellaneous,long,4,miscellaneous,toasting,2,seasonal,tales,2,miscellaneous,stories,2,miscellaneous,snow,2,seasonal
8,Wham!,United Kingdom,Last Christmas,https://www.azlyrics.com/lyrics/wham/lastchristmas.html,1984,1980's,i'll,18,miscellaneous,gave,16,miscellaneous,heart,12,sentimental,special,11,sentimental,christmas,9,celebratory,year,8,miscellaneous,day,7,miscellaneous,away,7,miscellaneous,tears,6,sentimental,save,6,miscellaneous
9,Dean Martin,The United States of America,"Let It Snow, Let It Snow, Let It Snow",https://www.azlyrics.com/lyrics/deanmartin/letitsnowletitsnowletitsnow.html,1959,1950's,snow,11,seasonal,i'll,4,miscellaneous,way,3,miscellaneous,we're,2,miscellaneous,we're,2,miscellaneous,warm,2,sentimental,tight,2,miscellaneous,storm,2,miscellaneous,slowly,2,miscellaneous,really,2,miscellaneous
10,Bing Crosby,The United States of America,White Christmas,https://www.azlyrics.com/lyrics/bingcrosby/whitechristmas.html,1942,1940's,white,6,miscellaneous,christmas,6,celebratory,i'm,4,miscellaneous,dreaming,4,sentimental,write,2,miscellaneous,used,2,miscellaneous,treetops,2,seasonal/traditions,snow,2,seasonal,sleigh,2,seasonal,ones,2,miscellaneous
11,Trans-Siberian Orchestra,The United States of America,Christmas Eve (Sarajevo 12/24),https://www.azlyrics.com/lyrics/transsiberianorchestra/christmasevesarajevo1224.html,1996,1990's,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,Gene Autry,The United States of America,Rudolph The Red-Nosed Reindeer,https://www.azlyrics.com/lyrics/geneautry/rudolphtherednosedreindeer.html,1949,1940's,reindeer,11,traditions/mythical,rudolph,8,celebratory/mythical,say,4,miscellaneous,red,4,traditions,nosed,4,miscellaneous,nose,4,miscellaneous,you'll,2,miscellaneous,won't,2,miscellaneous,used,2,miscellaneous,tonight,2,miscellaneous
13,The Ronettes,The United States of America,Sleigh Ride,https://www.azlyrics.com/lyrics/ronettes/sleighride.html,1963,1960's,sleigh,5,traditions/seasonal,weather,4,miscellaneous,ride,4,miscellaneous,lovely,4,sentimental,it's,4,miscellaneous,come,4,miscellaneous,we're,2,miscellaneous,snuggled,2,miscellaneous,sing,2,miscellaneous,rosy,2,miscellaneous
